name,latitude,longitude,color
AGE00135039: 265,35.7297,0.6500,#fff200
ASN00066062: 159,-33.8607,151.2050,#97ff00
ASN00086071: 89,-37.8075,144.9700,#3eff00
ASN00090015: 133,-38.8556,143.5128,#76ff00
AU000005901: 295,48.2331,16.3500,#ffe100
BE000006447: 200,50.8000,4.3500,#ccff00
CA006148100: 228,43.3833,-81.0000,#f0ff00
CA006158350: 222,43.6667,-79.4000,#e8ff00
EIE00101859: 200,53.2800,-9.0200,#ccff00
EZE00100082: 227,50.0864,14.4164,#eeff00
GM000004204: 208,50.9267,11.5842,#d6ff00
GME00125218: 205,51.3164,12.4475,#d2ff00
GME00127462: 196,54.3656,13.4783,#c7ff00
ITE00100550: 348,44.5000,11.3458,#ffc400
ITE00100554: 331,45.4717,9.1892,#ffcd00
SWE00139148: 225,59.8600,17.6300,#ecff00
SZ000006717: 72,45.8667,7.1667,#28ff00
UK000047811: 183,54.3500,-6.6500,#b6ff00
UK000056225: 190,51.7667,-1.2667,#bfff00
USC00288878: 278,40.2333,-74.7667,#ffea00
