name,latitude,longitude,color
AGE00135039: 115,35.7297,0.6500,#00ff05
ASN00066062: 285,-33.8607,151.2050,#ffe700
ASN00086071: 199,-37.8075,144.9700,#8aff00
ASN00090015: 161,-38.8556,143.5128,#1dff00
AU000005901: 13,48.2331,16.3500,#00ff15
BE000006447: 53,50.8000,4.3500,#00ff0f
CA006148100: 22,43.3833,-81.0000,#00ff14
CA006158350: 61,43.6667,-79.4000,#00ff0e
EIE00101859: 100,53.2800,-9.0200,#00ff08
EZE00100082: 39,50.0864,14.4164,#00ff11
GM000004204: 45,50.9267,11.5842,#00ff10
GME00125218: 54,51.3164,12.4475,#00ff0f
GME00127462: 51,54.3656,13.4783,#00ff0f
ITE00100550: 63,44.5000,11.3458,#00ff0d
ITE00100554: 45,45.4717,9.1892,#00ff10
SWE00139148: 42,59.8600,17.6300,#00ff11
SZ000006717: -30,45.8667,7.1667,#00ff1c
UK000047811: 122,54.3500,-6.6500,#00ff04
UK000056225: 111,51.7667,-1.2667,#00ff06
USC00288878: 56,40.2333,-74.7667,#00ff0f
