name,latitude,longitude,color
AGE00135039: 288,35.7297,0.6500,#ffe500
ASN00066062: 132,-33.8607,151.2050,#00ff03
ASN00086071: 122,-37.8075,144.9700,#00ff04
ASN00090015: 128,-38.8556,143.5128,#00ff03
AU000005901: 253,48.2331,16.3500,#fff800
BE000006447: 178,50.8000,4.3500,#4dff00
CA006148100: 283,43.3833,-81.0000,#ffe800
CA006158350: 311,43.6667,-79.4000,#ffd800
EIE00101859: 189,53.2800,-9.0200,#6dff00
EZE00100082: 189,50.0864,14.4164,#6dff00
GM000004204: 205,50.9267,11.5842,#9bff00
GME00125218: 219,51.3164,12.4475,#c3ff00
GME00127462: 211,54.3656,13.4783,#acff00
ITE00100550: 304,44.5000,11.3458,#ffdc00
ITE00100554: 285,45.4717,9.1892,#ffe700
SWE00139148: 211,59.8600,17.6300,#acff00
SZ000006717: 58,45.8667,7.1667,#00ff0e
UK000047811: 189,54.3500,-6.6500,#6dff00
UK000056225: 179,51.7667,-1.2667,#50ff00
USC00288878: 339,40.2333,-74.7667,#ffc900
