name,latitude,longitude,color
AGE00135039: 290,35.7297,0.6500,#ffe400
ASN00066062: 148,-33.8607,151.2050,#89ff00
ASN00086071: 120,-37.8075,144.9700,#65ff00
ASN00090015: 133,-38.8556,143.5128,#76ff00
AU000005901: 329,48.2331,16.3500,#ffce00
BE000006447: 252,50.8000,4.3500,#fff900
CA006148100: 250,43.3833,-81.0000,#fffa00
CA006158350: 244,43.6667,-79.4000,#fffd00
EIE00101859: 211,53.2800,-9.0200,#daff00
EZE00100082: 352,50.0864,14.4164,#ffc100
GM000004204: 329,50.9267,11.5842,#ffce00
GME00125218: 323,51.3164,12.4475,#ffd100
GME00127462: 308,54.3656,13.4783,#ffda00
ITE00100550: 366,44.5000,11.3458,#ffba00
ITE00100554: 360,45.4717,9.1892,#ffbd00
SWE00139148: 324,59.8600,17.6300,#ffd100
SZ000006717: 136,45.8667,7.1667,#7aff00
UK000047811: 206,54.3500,-6.6500,#d3ff00
UK000056225: 226,51.7667,-1.2667,#edff00
USC00288878: 333,40.2333,-74.7667,#ffcc00
