name,latitude,longitude,color
AGE00135039: 165,35.7297,0.6500,#28ff00
ASN00066062: 239,-33.8607,151.2050,#fcff00
ASN00086071: 209,-37.8075,144.9700,#a6ff00
ASN00090015: 211,-38.8556,143.5128,#acff00
AU000005901: -59,48.2331,16.3500,#00ff20
BE000006447: -3,50.8000,4.3500,#00ff18
CA006148100: 139,43.3833,-81.0000,#00ff02
CA006158350: 61,43.6667,-79.4000,#00ff0e
EIE00101859: 83,53.2800,-9.0200,#00ff0a
EZE00100082: -73,50.0864,14.4164,#00ff22
GM000004204: -59,50.9267,11.5842,#00ff20
GME00125218: -61,51.3164,12.4475,#00ff21
GME00127462: -39,54.3656,13.4783,#00ff1d
ITE00100550: 44,44.5000,11.3458,#00ff10
ITE00100554: 21,45.4717,9.1892,#00ff14
SWE00139148: -11,59.8600,17.6300,#00ff19
SZ000006717: -60,45.8667,7.1667,#00ff20
UK000047811: 58,54.3500,-6.6500,#00ff0e
UK000056225: 33,51.7667,-1.2667,#00ff12
