name,latitude,longitude,color
ASN00066062: 250,-33.8607,151.2050,#fffa00
ASN00086071: 148,-37.8075,144.9700,#00ff00
ASN00090015: 200,-38.8556,143.5128,#8cff00
AU000005901: 291,48.2331,16.3500,#ffe300
BE000006447: 236,50.8000,4.3500,#f4ff00
CA006158350: 244,43.6667,-79.4000,#fffd00
EIE00101859: 189,53.2800,-9.0200,#6dff00
EZE00100082: 278,50.0864,14.4164,#ffea00
GM000004204: 265,50.9267,11.5842,#fff200
GME00125218: 270,51.3164,12.4475,#ffef00
GME00127462: 204,54.3656,13.4783,#98ff00
ITE00100550: 310,44.5000,11.3458,#ffd900
ITE00100554: 326,45.4717,9.1892,#ffd000
SWE00139148: 211,59.8600,17.6300,#acff00
SZ000006717: 119,45.8667,7.1667,#00ff05
UK000047811: 217,54.3500,-6.6500,#bdff00
UK000056225: 236,51.7667,-1.2667,#f4ff00
USC00288878: 256,40.2333,-74.7667,#fff700
