name,latitude,longitude,color
ASN00066062: 206,-33.8607,151.2050,#d3ff00
ASN00086071: 167,-37.8075,144.9700,#a1ff00
ASN00090015: 172,-38.8556,143.5128,#a8ff00
AU000005901: 169,48.2331,16.3500,#a4ff00
BE000006447: 141,50.8000,4.3500,#80ff00
CA006158350: 100,43.6667,-79.4000,#4cff00
EIE00101859: 200,53.2800,-9.0200,#ccff00
EZE00100082: 115,50.0864,14.4164,#5fff00
GM000004204: 109,50.9267,11.5842,#57ff00
GME00125218: 83,51.3164,12.4475,#36ff00
GME00127462: 51,54.3656,13.4783,#0dff00
ITE00100550: 209,44.5000,11.3458,#d7ff00
ITE00100554: 146,45.4717,9.1892,#87ff00
SWE00139148: 31,59.8600,17.6300,#00ff02
SZ000006717: 62,45.8667,7.1667,#1bff00
UK000047811: 156,54.3500,-6.6500,#93ff00
UK000056225: 148,51.7667,-1.2667,#89ff00
