name,latitude,longitude,color
AGE00135039: 180,35.7297,0.6500,#b2ff00
ASN00066062: 234,-33.8607,151.2050,#f7ff00
ASN00086071: 311,-37.8075,144.9700,#ffd800
ASN00090015: 233,-38.8556,143.5128,#f6ff00
AU000005901: 73,48.2331,16.3500,#29ff00
BE000006447: 79,50.8000,4.3500,#31ff00
CA006148100: 11,43.3833,-81.0000,#00ff22
CA006158350: 17,43.6667,-79.4000,#00ff1b
EIE00101859: 100,53.2800,-9.0200,#4cff00
EZE00100082: 56,50.0864,14.4164,#13ff00
GM000004204: 25,50.9267,11.5842,#00ff11
GME00125218: 33,51.3164,12.4475,#00ff08
GME00127462: 43,54.3656,13.4783,#03ff00
ITE00100550: 109,44.5000,11.3458,#57ff00
ITE00100554: 106,45.4717,9.1892,#53ff00
SWE00139148: -17,59.8600,17.6300,#00ff42
SZ000006717: -32,45.8667,7.1667,#00ff53
UK000047811: 128,54.3500,-6.6500,#6fff00
UK000056225: 117,51.7667,-1.2667,#61ff00
USC00288878: 89,40.2333,-74.7667,#3eff00
