name,latitude,longitude,color
AGE00135039: 220,35.7297,0.6500,#e5ff00
ASN00066062: 188,-33.8607,151.2050,#bcff00
ASN00074128: 189,-35.5269,144.9520,#beff00
ASN00086071: 187,-37.8075,144.9700,#bbff00
ASN00090015: 194,-38.8556,143.5128,#c4ff00
AU000005901: 219,48.2331,16.3500,#e4ff00
BE000006447: 229,50.8000,4.3500,#f1ff00
CA006148100: 244,43.3833,-81.0000,#fffd00
CA006158350: 256,43.6667,-79.4000,#fff700
EIE00101859: 300,53.2800,-9.0200,#ffde00
EZE00100082: 196,50.0864,14.4164,#c7ff00
GM000004204: 220,50.9267,11.5842,#e5ff00
GME00125218: 215,51.3164,12.4475,#dfff00
GME00127462: 175,54.3656,13.4783,#acff00
ITE00100550: 316,44.5000,11.3458,#ffd500
ITE00100554: 310,45.4717,9.1892,#ffd900
SWE00139148: 196,59.8600,17.6300,#c7ff00
SZ000006717: 104,45.8667,7.1667,#51ff00
UK000047811: 261,54.3500,-6.6500,#fff400
UK000056225: 287,51.7667,-1.2667,#ffe500
USC00288878: 300,40.2333,-74.7667,#ffde00
