name,latitude,longitude,color
AGE00135039: 200,35.7297,0.6500,#ccff00
ASN00066062: 247,-33.8607,151.2050,#fffc00
ASN00086071: 267,-37.8075,144.9700,#fff100
ASN00090015: 194,-38.8556,143.5128,#c4ff00
AU000005901: 111,48.2331,16.3500,#5aff00
BE000006447: 100,50.8000,4.3500,#4cff00
CA006148100: 50,43.3833,-81.0000,#0cff00
CA006158350: 56,43.6667,-79.4000,#13ff00
EIE00101859: 94,53.2800,-9.0200,#44ff00
EZE00100082: 87,50.0864,14.4164,#3bff00
GM000004204: 100,50.9267,11.5842,#4cff00
GME00125218: 103,51.3164,12.4475,#4fff00
GME00127462: 81,54.3656,13.4783,#33ff00
ITE00100550: 169,44.5000,11.3458,#a4ff00
ITE00100554: 117,45.4717,9.1892,#61ff00
SWE00139148: 79,59.8600,17.6300,#31ff00
SZ000006717: -25,45.8667,7.1667,#00fdff
UK000047811: 89,54.3500,-6.6500,#3eff00
UK000056225: 88,51.7667,-1.2667,#3cff00
USC00288878: 78,40.2333,-74.7667,#2fff00
