name,latitude,longitude,color
AGE00135039: 140,35.7297,0.6500,#7fff00
ASN00066062: 259,-33.8607,151.2050,#fff500
ASN00086071: 213,-37.8075,144.9700,#dcff00
AU000005901: 73,48.2331,16.3500,#29ff00
BE000006447: 17,50.8000,4.3500,#00ff65
CA006148100: -100,43.3833,-81.0000,#00e7ff
CA006158350: -89,43.6667,-79.4000,#00eaff
EIE00101859: 28,53.2800,-9.0200,#00ff35
EZE00100082: 15,50.0864,14.4164,#00ff6e
GM000004204: 14,50.9267,11.5842,#00ff72
GME00125218: 8,51.3164,12.4475,#00ff8d
GME00127462: 1,54.3656,13.4783,#00ffab
ITE00100550: 10,44.5000,11.3458,#00ff84
ITE00100554: 2,45.4717,9.1892,#00ffa7
SWE00139148: 3,59.8600,17.6300,#00ffa3
SZ000006717: -137,45.8667,7.1667,#00dcff
UK000047811: 32,54.3500,-6.6500,#00ff23
UK000056225: 24,51.7667,-1.2667,#00ff46
