name,latitude,longitude,color
AGE00135039: 250,35.7297,0.6500,#fffa00
ASN00066062: 189,-33.8607,151.2050,#6dff00
ASN00086071: 127,-37.8075,144.9700,#00ff04
ASN00090015: 128,-38.8556,143.5128,#00ff03
AU000005901: 178,48.2331,16.3500,#4dff00
BE000006447: 213,50.8000,4.3500,#b2ff00
CA006148100: 267,43.3833,-81.0000,#fff100
CA006158350: 250,43.6667,-79.4000,#fffa00
EIE00101859: 189,53.2800,-9.0200,#6dff00
EZE00100082: 172,50.0864,14.4164,#3cff00
GM000004204: 183,50.9267,11.5842,#5cff00
GME00125218: 183,51.3164,12.4475,#5cff00
GME00127462: 153,54.3656,13.4783,#06ff00
ITE00100550: 323,44.5000,11.3458,#ffd100
ITE00100554: 326,45.4717,9.1892,#ffd000
SWE00139148: 157,59.8600,17.6300,#11ff00
SZ000006717: 109,45.8667,7.1667,#00ff06
UK000047811: 206,54.3500,-6.6500,#9eff00
UK000056225: 242,51.7667,-1.2667,#fffe00
USC00288878: 306,40.2333,-74.7667,#ffdb00
