name,latitude,longitude,color
ASN00066062: 253,-33.8607,151.2050,#fff800
ASN00086071: 266,-37.8075,144.9700,#fff100
ASN00090015: 211,-38.8556,143.5128,#daff00
AU000005901: -73,48.2331,16.3500,#00efff
BE000006447: 41,50.8000,4.3500,#00ff00
CA006158350: -39,43.6667,-79.4000,#00f9ff
EIE00101859: 106,53.2800,-9.0200,#53ff00
EZE00100082: -87,50.0864,14.4164,#00ebff
GM000004204: -101,50.9267,11.5842,#00e7ff
GME00125218: -108,51.3164,12.4475,#00e5ff
GME00127462: -88,54.3656,13.4783,#00eaff
ITE00100550: 25,44.5000,11.3458,#00ff42
ITE00100554: 33,45.4717,9.1892,#00ff1f
SWE00139148: -167,59.8600,17.6300,#00d4ff
SZ000006717: -74,45.8667,7.1667,#00efff
UK000047811: 56,54.3500,-6.6500,#13ff00
UK000056225: 83,51.7667,-1.2667,#36ff00
