name,latitude,longitude,color
AGE00135039: 110,35.7297,0.6500,#00ff06
ASN00066062: 280,-33.8607,151.2050,#ffe900
ASN00086071: 189,-37.8075,144.9700,#6dff00
ASN00090015: 233,-38.8556,143.5128,#ebff00
AU000005901: -55,48.2331,16.3500,#00ff20
BE000006447: 73,50.8000,4.3500,#00ff0c
CA006148100: -6,43.3833,-81.0000,#00ff18
CA006158350: -22,43.6667,-79.4000,#00ff1b
EIE00101859: 94,53.2800,-9.0200,#00ff09
EZE00100082: -20,50.0864,14.4164,#00ff1a
GM000004204: 33,50.9267,11.5842,#00ff12
GME00125218: 38,51.3164,12.4475,#00ff11
GME00127462: 19,54.3656,13.4783,#00ff14
ITE00100550: 84,44.5000,11.3458,#00ff0a
ITE00100554: 58,45.4717,9.1892,#00ff0e
SWE00139148: 40,59.8600,17.6300,#00ff11
SZ000006717: -42,45.8667,7.1667,#00ff1e
UK000047811: 83,54.3500,-6.6500,#00ff0a
UK000056225: 111,51.7667,-1.2667,#00ff06
USC00288878: 44,40.2333,-74.7667,#00ff10
