name,latitude,longitude,color
AGE00135039: 120,35.7297,0.6500,#00ff05
ASN00066062: 247,-33.8607,151.2050,#fffc00
ASN00086071: 172,-37.8075,144.9700,#3cff00
ASN00090015: 161,-38.8556,143.5128,#1dff00
AU000005901: 15,48.2331,16.3500,#00ff15
BE000006447: 60,50.8000,4.3500,#00ff0e
CA006148100: -94,43.3833,-81.0000,#00ff26
CA006158350: -56,43.6667,-79.4000,#00ff20
EIE00101859: 100,53.2800,-9.0200,#00ff08
EZE00100082: 17,50.0864,14.4164,#00ff15
GM000004204: 38,50.9267,11.5842,#00ff11
GME00125218: 24,51.3164,12.4475,#00ff13
GME00127462: 55,54.3656,13.4783,#00ff0f
ITE00100550: 48,44.5000,11.3458,#00ff10
ITE00100554: 38,45.4717,9.1892,#00ff11
SWE00139148: 40,59.8600,17.6300,#00ff11
SZ000006717: -75,45.8667,7.1667,#00ff23
UK000047811: 89,54.3500,-6.6500,#00ff09
UK000056225: 72,51.7667,-1.2667,#00ff0c
USC00288878: -28,40.2333,-74.7667,#00ff1c
