name,latitude,longitude,color
AGE00135039: 165,35.7297,0.6500,#9fff00
ASN00066062: 261,-33.8607,151.2050,#fff400
ASN00086071: 255,-37.8075,144.9700,#fff700
ASN00090015: 256,-38.8556,143.5128,#fff700
AU000005901: 41,48.2331,16.3500,#00ff00
BE000006447: 35,50.8000,4.3500,#00ff21
CA006148100: -39,43.3833,-81.0000,#00f4ff
CA006158350: -17,43.6667,-79.4000,#00faff
EIE00101859: 89,53.2800,-9.0200,#3eff00
EZE00100082: 23,50.0864,14.4164,#00ff6f
GM000004204: 21,50.9267,11.5842,#00ff7c
GME00125218: 1,51.3164,12.4475,#00ffff
GME00127462: 13,54.3656,13.4783,#00ffb1
ITE00100550: 105,44.5000,11.3458,#52ff00
ITE00100554: 122,45.4717,9.1892,#68ff00
SWE00139148: -18,59.8600,17.6300,#00faff
SZ000006717: -54,45.8667,7.1667,#00f0ff
UK000047811: 76,54.3500,-6.6500,#2dff00
UK000056225: 44,51.7667,-1.2667,#04ff00
