name,latitude,longitude,color
ASN00066062: 263,-33.8607,151.2050,#fff300
ASN00086071: 245,-37.8075,144.9700,#fffd00
ASN00090015: 194,-38.8556,143.5128,#7bff00
AU000005901: 88,48.2331,16.3500,#00ff0a
BE000006447: 96,50.8000,4.3500,#00ff08
CA006158350: 78,43.6667,-79.4000,#00ff0b
EIE00101859: 100,53.2800,-9.0200,#00ff08
EZE00100082: 85,50.0864,14.4164,#00ff0a
GM000004204: 88,50.9267,11.5842,#00ff0a
GME00125218: 81,51.3164,12.4475,#00ff0b
GME00127462: 28,54.3656,13.4783,#00ff13
ITE00100550: 100,44.5000,11.3458,#00ff08
ITE00100554: 62,45.4717,9.1892,#00ff0e
SWE00139148: 32,59.8600,17.6300,#00ff12
SZ000006717: 22,45.8667,7.1667,#00ff14
UK000047811: 111,54.3500,-6.6500,#00ff06
UK000056225: 117,51.7667,-1.2667,#00ff05
USC00288878: 111,40.2333,-74.7667,#00ff06
