name,latitude,longitude,color
AGE00135039: 230,35.7297,0.6500,#f2ff00
ASN00066062: 199,-33.8607,151.2050,#caff00
ASN00086071: 150,-37.8075,144.9700,#8cff00
ASN00090015: 139,-38.8556,143.5128,#7eff00
AU000005901: 213,48.2331,16.3500,#dcff00
BE000006447: 189,50.8000,4.3500,#beff00
CA006148100: 233,43.3833,-81.0000,#f6ff00
CA006158350: 228,43.6667,-79.4000,#f0ff00
EIE00101859: 194,53.2800,-9.0200,#c4ff00
EZE00100082: 191,50.0864,14.4164,#c0ff00
GM000004204: 204,50.9267,11.5842,#d1ff00
GME00125218: 196,51.3164,12.4475,#c7ff00
ITE00100550: 219,44.5000,11.3458,#e4ff00
ITE00100554: 231,45.4717,9.1892,#f3ff00
SWE00139148: 125,59.8600,17.6300,#6cff00
SZ000006717: 76,45.8667,7.1667,#2dff00
UK000047811: 183,54.3500,-6.6500,#b6ff00
UK000056225: 175,51.7667,-1.2667,#acff00
USC00288878: 267,40.2333,-74.7667,#fff100
