name,latitude,longitude,color
AGE00135039: 235,35.7297,0.6500,#f1ff00
ASN00066062: 323,-33.8607,151.2050,#ffd100
ASN00086071: 195,-37.8075,144.9700,#7eff00
ASN00090015: 161,-38.8556,143.5128,#1dff00
AU000005901: 150,48.2331,16.3500,#00ff00
BE000006447: 193,50.8000,4.3500,#78ff00
CA006148100: 194,43.3833,-81.0000,#7bff00
CA006158350: 211,43.6667,-79.4000,#acff00
EIE00101859: 178,53.2800,-9.0200,#4dff00
EZE00100082: 141,50.0864,14.4164,#00ff01
GM000004204: 160,50.9267,11.5842,#1aff00
GME00125218: 149,51.3164,12.4475,#00ff00
ITE00100550: 173,44.5000,11.3458,#3fff00
ITE00100554: 167,45.4717,9.1892,#2eff00
SWE00139148: 117,59.8600,17.6300,#00ff05
SZ000006717: 65,45.8667,7.1667,#00ff0d
UK000047811: 150,54.3500,-6.6500,#00ff00
UK000056225: 184,51.7667,-1.2667,#5fff00
USC00288878: 233,40.2333,-74.7667,#ebff00
