name,latitude,longitude,color
AGE00135039: 290,35.7297,0.6500,#ffe400
ASN00066062: 150,-33.8607,151.2050,#00ff00
ASN00086071: 150,-37.8075,144.9700,#00ff00
ASN00090015: 178,-38.8556,143.5128,#4dff00
AU000005901: 315,48.2331,16.3500,#ffd600
BE000006447: 286,50.8000,4.3500,#ffe600
CA006148100: 206,43.3833,-81.0000,#9eff00
CA006158350: 228,43.6667,-79.4000,#ddff00
EIE00101859: 200,53.2800,-9.0200,#8cff00
EZE00100082: 312,50.0864,14.4164,#ffd800
GM000004204: 319,50.9267,11.5842,#ffd400
GME00125218: 303,51.3164,12.4475,#ffdd00
GME00127462: 275,54.3656,13.4783,#ffec00
ITE00100550: 348,44.5000,11.3458,#ffc400
ITE00100554: 347,45.4717,9.1892,#ffc400
SWE00139148: 312,59.8600,17.6300,#ffd800
SZ000006717: 173,45.8667,7.1667,#3fff00
UK000047811: 178,54.3500,-6.6500,#4dff00
UK000056225: 196,51.7667,-1.2667,#81ff00
USC00288878: 267,40.2333,-74.7667,#fff100
