name,latitude,longitude,color
AGE00135039: 160,35.7297,0.6500,#98ff00
ASN00066062: 223,-33.8607,151.2050,#e9ff00
ASN00086071: 233,-37.8075,144.9700,#f6ff00
ASN00090015: 233,-38.8556,143.5128,#f6ff00
AU000005901: 46,48.2331,16.3500,#06ff00
BE000006447: 41,50.8000,4.3500,#00ff00
CA006148100: 28,43.3833,-81.0000,#00ff0e
CA006158350: 33,43.6667,-79.4000,#00ff08
EIE00101859: 128,53.2800,-9.0200,#6fff00
EZE00100082: 38,50.0864,14.4164,#00ff02
GM000004204: 49,50.9267,11.5842,#0aff00
GME00125218: 48,51.3164,12.4475,#09ff00
GME00127462: 29,54.3656,13.4783,#00ff0d
ITE00100550: 65,44.5000,11.3458,#1fff00
ITE00100554: 102,45.4717,9.1892,#4eff00
SWE00139148: -1,59.8600,17.6300,#00ff30
SZ000006717: -120,45.8667,7.1667,#00ffb9
UK000047811: 70,54.3500,-6.6500,#25ff00
UK000056225: 55,51.7667,-1.2667,#12ff00
