name,latitude,longitude,color
AGE00135039: 217,35.7297,0.6500,#e2ff00
ASN00066062: 228,-33.8607,151.2050,#f0ff00
ASN00086071: 328,-37.8075,144.9700,#ffcf00
ASN00090015: 289,-38.8556,143.5128,#ffe400
AU000005901: 114,48.2331,16.3500,#5eff00
BE000006447: 126,50.8000,4.3500,#6dff00
CA006148100: 56,43.3833,-81.0000,#13ff00
CA006158350: 100,43.6667,-79.4000,#4cff00
EIE00101859: 117,53.2800,-9.0200,#61ff00
EZE00100082: 142,50.0864,14.4164,#81ff00
GM000004204: 140,50.9267,11.5842,#7fff00
GME00125218: 140,51.3164,12.4475,#7fff00
GME00127462: 114,54.3656,13.4783,#5eff00
ITE00100550: 160,44.5000,11.3458,#98ff00
ITE00100554: 114,45.4717,9.1892,#5eff00
SWE00139148: 79,59.8600,17.6300,#31ff00
SZ000006717: -22,45.8667,7.1667,#00ff48
UK000047811: 100,54.3500,-6.6500,#4cff00
UK000056225: 83,51.7667,-1.2667,#36ff00
USC00288878: 100,40.2333,-74.7667,#4cff00
