name,latitude,longitude,color
AGE00135039: 230,35.7297,0.6500,#f2ff00
ASN00066062: 212,-33.8607,151.2050,#dbff00
ASN00086071: 179,-37.8075,144.9700,#b1ff00
ASN00090015: 194,-38.8556,143.5128,#c4ff00
AU000005901: 75,48.2331,16.3500,#2cff00
BE000006447: 136,50.8000,4.3500,#7aff00
CA006148100: 39,43.3833,-81.0000,#00ff04
CA006158350: 67,43.6667,-79.4000,#21ff00
EIE00101859: 100,53.2800,-9.0200,#4cff00
EZE00100082: 76,50.0864,14.4164,#2dff00
GM000004204: 146,50.9267,11.5842,#87ff00
GME00125218: 131,51.3164,12.4475,#73ff00
GME00127462: 81,54.3656,13.4783,#33ff00
ITE00100550: 104,44.5000,11.3458,#51ff00
ITE00100554: 98,45.4717,9.1892,#49ff00
SWE00139148: 86,59.8600,17.6300,#3aff00
SZ000006717: -14,45.8667,7.1667,#00ffed
UK000047811: 72,54.3500,-6.6500,#28ff00
UK000056225: 100,51.7667,-1.2667,#4cff00
USC00288878: 156,40.2333,-74.7667,#93ff00
