name,latitude,longitude,color
AGE00135039: 160,35.7297,0.6500,#98ff00
ASN00066062: 222,-33.8607,151.2050,#e8ff00
ASN00086071: 233,-37.8075,144.9700,#f6ff00
ASN00090015: 206,-38.8556,143.5128,#d3ff00
AU000005901: 35,48.2331,16.3500,#00ff01
BE000006447: 44,50.8000,4.3500,#04ff00
CA006148100: -6,43.3833,-81.0000,#00ff0c
CA006158350: -89,43.6667,-79.4000,#00ff23
EIE00101859: 61,53.2800,-9.0200,#1aff00
EZE00100082: 38,50.0864,14.4164,#00ff01
GM000004204: 33,50.9267,11.5842,#00ff02
GME00125218: 38,51.3164,12.4475,#00ff01
GME00127462: 18,54.3656,13.4783,#00ff06
ITE00100550: 53,44.5000,11.3458,#0fff00
ITE00100554: 54,45.4717,9.1892,#11ff00
SWE00139148: 21,59.8600,17.6300,#00ff05
SZ000006717: -113,45.8667,7.1667,#00ff2a
UK000047811: 62,54.3500,-6.6500,#1bff00
UK000056225: 24,51.7667,-1.2667,#00ff04
