name,latitude,longitude,color
AGE00135039: 135,35.7297,0.6500,#78ff00
ASN00066062: 274,-33.8607,151.2050,#ffed00
ASN00086071: 317,-37.8075,144.9700,#ffd500
ASN00090015: 211,-38.8556,143.5128,#daff00
AU000005901: -5,48.2331,16.3500,#00ff0c
BE000006447: -1,50.8000,4.3500,#00ff0b
CA006148100: -39,43.3833,-81.0000,#00ff15
CA006158350: -22,43.6667,-79.4000,#00ff11
EIE00101859: 0,53.2800,-9.0200,#00ff0b
EZE00100082: -3,50.0864,14.4164,#00ff0c
GM000004204: 11,50.9267,11.5842,#00ff08
GME00125218: 14,51.3164,12.4475,#00ff07
GME00127462: -13,54.3656,13.4783,#00ff0e
ITE00100550: 11,44.5000,11.3458,#00ff08
ITE00100554: -5,45.4717,9.1892,#00ff0c
SWE00139148: 7,59.8600,17.6300,#00ff09
SZ000006717: -40,45.8667,7.1667,#00ff16
UK000047811: 2,54.3500,-6.6500,#00ff0a
UK000056225: 17,51.7667,-1.2667,#00ff06
