name,latitude,longitude,color
AGE00135039: 170,35.7297,0.6500,#36ff00
ASN00066062: 222,-33.8607,151.2050,#cbff00
ASN00086071: 217,-37.8075,144.9700,#bdff00
ASN00090015: 189,-38.8556,143.5128,#6dff00
AU000005901: -48,48.2331,16.3500,#00ff1f
BE000006447: -8,50.8000,4.3500,#00ff18
CA006148100: -78,43.3833,-81.0000,#00ff23
CA006158350: -61,43.6667,-79.4000,#00ff21
EIE00101859: 94,53.2800,-9.0200,#00ff09
EZE00100082: -40,50.0864,14.4164,#00ff1d
GM000004204: 0,50.9267,11.5842,#00ff17
GME00125218: -14,51.3164,12.4475,#00ff19
GME00127462: -23,54.3656,13.4783,#00ff1b
ITE00100550: 18,44.5000,11.3458,#00ff14
ITE00100554: 58,45.4717,9.1892,#00ff0e
SWE00139148: -123,59.8600,17.6300,#00ff2a
SZ000006717: -117,45.8667,7.1667,#00ff29
UK000047811: 53,54.3500,-6.6500,#00ff0f
UK000056225: 19,51.7667,-1.2667,#00ff14
