name,latitude,longitude,color
AGE00135039: 145,35.7297,0.6500,#85ff00
ASN00066062: 241,-33.8607,151.2050,#ffff00
ASN00086071: 261,-37.8075,144.9700,#fff400
ASN00090015: 200,-38.8556,143.5128,#ccff00
AU000005901: 43,48.2331,16.3500,#03ff00
BE000006447: 9,50.8000,4.3500,#00ff88
CA006148100: 6,43.3833,-81.0000,#00ff95
CA006158350: 22,43.6667,-79.4000,#00ff4f
EIE00101859: 0,53.2800,-9.0200,#00ffb0
EZE00100082: 18,50.0864,14.4164,#00ff61
GM000004204: 23,50.9267,11.5842,#00ff4b
GME00125218: -3,51.3164,12.4475,#00ffbd
GME00127462: -6,54.3656,13.4783,#00ffca
ITE00100550: 78,44.5000,11.3458,#2fff00
ITE00100554: 60,45.4717,9.1892,#18ff00
SWE00139148: -13,59.8600,17.6300,#00ffe9
SZ000006717: -46,45.8667,7.1667,#00f7ff
UK000047811: 9,54.3500,-6.6500,#00ff88
UK000056225: 23,51.7667,-1.2667,#00ff4b
