name,latitude,longitude,color
AGE00135039: 250,35.7297,0.6500,#fffa00
ASN00066062: 197,-33.8607,151.2050,#84ff00
ASN00086071: 183,-37.8075,144.9700,#5cff00
ASN00090015: 167,-38.8556,143.5128,#2eff00
AU000005901: 259,48.2331,16.3500,#fff500
BE000006447: 253,50.8000,4.3500,#fff800
CA006148100: 256,43.3833,-81.0000,#fff700
CA006158350: 250,43.6667,-79.4000,#fffa00
EIE00101859: 194,53.2800,-9.0200,#7bff00
EZE00100082: 261,50.0864,14.4164,#fff400
GM000004204: 270,50.9267,11.5842,#ffef00
GME00125218: 274,51.3164,12.4475,#ffed00
GME00127462: 208,54.3656,13.4783,#a3ff00
ITE00100550: 309,44.5000,11.3458,#ffd900
ITE00100554: 307,45.4717,9.1892,#ffda00
SWE00139148: 233,59.8600,17.6300,#ebff00
SZ000006717: 113,45.8667,7.1667,#00ff06
UK000047811: 222,54.3500,-6.6500,#cbff00
UK000056225: 243,51.7667,-1.2667,#fffe00
USC00288878: 333,40.2333,-74.7667,#ffcc00
